"No.","Time","Source","Destination","Protocol","Length","Info"
"4","0.026566","192.168.32.1","192.168.32.32","DNS","205","Standard query response 0xe181 A fp.msedge.net CNAME 1.perf.msedge.net CNAME a-0019.a-msedge.net CNAME a-0019.a.dns.azurefd.net CNAME a-0019.standard.a-msedge.net A 204.79.197.222"
"5","0.026712","192.168.32.1","192.168.32.32","DNS","133","Standard query response 0x132f HTTPS fp.msedge.net SOA ns1.msedge.net"
"7","0.032208","204.79.197.222","192.168.32.32","TCP","66","443  >  49729 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM"
"10","0.038097","204.79.197.222","192.168.32.32","TCP","60","443  >  49729 [ACK] Seq=1 Ack=1401 Win=4194304 Len=0"
"11","0.038134","204.79.197.222","192.168.32.32","TCP","60","443  >  49729 [ACK] Seq=1 Ack=1756 Win=4193792 Len=0"
"12","0.038134","204.79.197.222","192.168.32.32","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"14","0.043565","204.79.197.222","192.168.32.32","TCP","60","443  >  49729 [ACK] Seq=100 Ack=2357 Win=4193280 Len=0"
"15","0.045972","204.79.197.222","192.168.32.32","TLSv1.3","1454","Server Hello"
"16","0.046077","204.79.197.222","192.168.32.32","TCP","1454","443  >  49729 [ACK] Seq=1500 Ack=2357 Win=4193280 Len=1400 [TCP PDU reassembled in 19]"
"17","0.046077","204.79.197.222","192.168.32.32","TCP","1454","443  >  49729 [ACK] Seq=2900 Ack=2357 Win=4193280 Len=1400 [TCP PDU reassembled in 19]"
"18","0.046077","204.79.197.222","192.168.32.32","TCP","1454","443  >  49729 [ACK] Seq=4300 Ack=2357 Win=4193280 Len=1400 [TCP PDU reassembled in 19]"
"19","0.046077","204.79.197.222","192.168.32.32","TLSv1.3","808","Application Data"
"24","0.050883","204.79.197.222","192.168.32.32","TCP","60","443  >  49729 [ACK] Seq=6454 Ack=2431 Win=4193280 Len=0"
"25","0.051011","204.79.197.222","192.168.32.32","TLSv1.3","513","Application Data"
"26","0.051011","204.79.197.222","192.168.32.32","TCP","60","443  >  49729 [ACK] Seq=6913 Ack=2523 Win=4193024 Len=0"
"27","0.051086","204.79.197.222","192.168.32.32","TLSv1.3","116","Application Data"
"29","0.051194","204.79.197.222","192.168.32.32","TLSv1.3","85","Application Data"
"31","0.053023","204.79.197.222","192.168.32.32","TLSv1.3","244","Application Data"
"33","0.053211","204.79.197.222","192.168.32.32","TLSv1.3","85","Application Data"
"34","0.055317","204.79.197.222","192.168.32.32","TCP","60","443  >  49729 [ACK] Seq=7227 Ack=3602 Win=4194304 Len=0"
"36","0.417985","161.49.44.109","192.168.32.32","TCP","60","80  >  49631 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0"
"39","0.423291","161.49.44.109","192.168.32.32","TCP","60","80  >  49631 [ACK] Seq=2 Ack=2 Win=512 Len=0"
"41","0.963716","142.251.220.206","192.168.32.32","TCP","60","443  >  49532 [ACK] Seq=1 Ack=1401 Win=994 Len=0"
"42","0.963843","142.251.220.206","192.168.32.32","TCP","60","443  >  49532 [ACK] Seq=1 Ack=2166 Win=992 Len=0"
"44","1.231154","142.251.220.206","192.168.32.32","TLSv1.2","124","Application Data"
"45","1.231221","142.251.220.206","192.168.32.32","TLSv1.2","817","Application Data"
"47","1.232170","142.251.220.206","192.168.32.32","TLSv1.2","239","Application Data"
"48","1.232170","142.251.220.206","192.168.32.32","TLSv1.2","85","Application Data"
"49","1.232446","142.251.220.206","192.168.32.32","TLSv1.2","93","Application Data"
"52","1.237110","142.251.220.206","192.168.32.32","TCP","60","443  >  49532 [ACK] Seq=1089 Ack=2205 Win=992 Len=0"
"53","1.440843","69.173.158.65","192.168.32.32","TLSv1.2","93","Application Data"
"55","1.474623","69.173.158.65","192.168.32.32","TCP","60","443  >  49698 [ACK] Seq=40 Ack=2 Win=30800 Len=0"
"56","1.474699","69.173.158.65","192.168.32.32","TCP","60","443  >  49698 [FIN, ACK] Seq=40 Ack=2 Win=30800 Len=0"
"58","1.539520","161.49.44.109","192.168.32.32","TCP","60","80  >  49634 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0"
